   ,CODE,NAME,NAME,SHORT_NAME
1,1241.1,Автовокзали та інші будівлі автомобільного транспорту.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
2,2112.7,Автомобільні дороги сільськогосподарських підприємств.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
3,2141.1,"Автомобільні мости, шляхопроводи та естакади надземні.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
4,211,"Автостради, вулиці та дороги.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
5,2111,"Автостради.<br><i>Цей клас включає:</i><br><ul><li>автомобільні шляхи та дороги для магістральних трас, включаючи перехрестя та транспортні розв'язки в різних рівнях.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>пристрої для освітлення, сигналізації, забезпечення безпеки та стоянок.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>станції технічного обслуговування автомобілів (12.30);</li><li>мости та естакади (21.41);</li><li>тунелі та метро (21.42).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
6,1220.5,Адміністративно-побутові будівлі промислових підприємств.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
7,1241.4,Аеровокзали та інші будівлі повітряного транспорту.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
8,2153.1,"Акведуки, дюкери.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
9,2153,"Акведуки, зрошувальні та осушувальні споруди.<br><i>Цей клас включає:</i><br><ul><li>зрошувальні канали та інші споруди, що постачають воду у землеробстві;</li><li>акведуки.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>дренажні та зливові споруди.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>акведуки, що є історичними пам'ятками (12.73);</li><li>дамби (21.52);</li><li>водопроводи (22.12, 22.22).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
10,1241.8,"Ангари для літаків, локомотивні, вагонні, трамвайні та тролейбусні депо.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
11,1273.2,"Археологічні розкопки, руїни та історичні місця, що охороняються державою.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
12,1230.5,Бази та склади підприємств торгівлі й громадського харчування.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
13,1265.2,Басейни криті для плавання.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
14,1262.2,"Бібліотеки, книгосховища.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
15,1122.1,Будинки багатоквартирні масової забудови.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
16,1122.2,"Будинки багатоквартирні підвищеної комфортності, індивідуальні.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
17,1110.4,Будинки дачні та садові.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
18,1121.1,Будинки двоквартирні масової забудови.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
19,1130.5,Будинки дитини та сирітські будинки.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
20,1130.6,"Будинки для біженців, притулки для бездомних.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
21,1130.9,Будинки для колективного проживання інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
22,1122.3,Будинки житлові готельного типу.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
23,1121,"Будинки з двома квартирами.<br><i>Цей клас включає:</i><br><ul><li>відокремлені, спарені або зблоковані будинки з двома квартирами.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>спарені або зблоковані будинки з окремими квартирами, що мають свій власний вхід з вулиці (11.10).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
24,112,Будинки з двома та більше квартирами.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
25,1122,"Будинки з трьома та більше квартирами. <br><i>Цей клас включає:</i><br><ul><li>інші житлові будинки з трьома та більше квартирами.</li></ul><br><i>Цей клас не включає:</i><ul><li>гуртожитки (11.30);</li><li>готелі (12.11);</li><li>туристичні бази, табори та будинки відпочинку (12.12).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
26,111,Будинки одноквартирні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
27,1110.1,Будинки одноквартирні масової забудови.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
28,1110,"Будинки одноквартирні.<br>Цей клас включає: <ul><li>відокремлені житлові будинки садибного типу (міські, позаміські, сільські), вілли, дачі, будинки для персоналу лісового господарства, літні будинки для тимчасового проживання, садові будинки та т. ін.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>спарені або зблоковані будинки з окремими квартирами, що мають свій власний вхід з вулиці.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>нежитлові сільськогосподарські будинки (12.71).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
29,1110.3,Будинки садибного типу.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
30,1130.4,Будинки-інтернати для людей похилого віку та інвалідів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
32,1262.5,Будівлі архівів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
33,1274.3,"Будівлі виправних закладів, в'язниць та слідчих ізоляторів.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
34,1263.2,Будівлі вищих навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
